V1,V2
CYP4F8,1.02200755
DSCAM,1.020006676
SLC38A8,1.016889529
FAM71F1,1.01551574
APOBEC4,1.005023882
GRIA4,1.004930281
RAX,1.004888569
GSTM1,1.000877208
PRDM16,0.999018356
C19orf81,0.99893498
AFP,0.996835466
CA10,0.995711223
PCDHA1,0.994595298
ADTRP,0.993159981
IVL,0.992524461
A1CF,0.992322793
SLC22A10,0.990701715
CHIA,0.99044908
EFNA2,0.990206232
HP,0.988732308
LINC02203,0.987022756
KIR2DL3,0.983515149
C21orf62,0.983131021
HBQ1,0.982364234
SLC46A2,0.981397582
G6PC,0.980236443
MYBPC3,0.979856658
RAD21L1,0.978327263
DCAF12L1,0.978102619
C1orf158,0.977223587
CHEK1,0.973099896
TNMD,0.972131049
CYP26A1,0.971669409
MARCHF4,0.971362884
IGFBP1,0.970453933
GABRA1,0.969092588
MAT1A,0.968148041
ZPLD1,0.967982948
HOXC13,0.964401944
ERAS,0.963794531
CAPSL,0.962616691
TUBA4B,0.961816869
PRSS55,0.961469087
SLC28A3,0.960765306
PON3,0.959669643
SLCO4C1,0.957969826
OR5B12,0.956849299
SOX3,0.956595385
FOXB2,0.955885676
DNAH8,0.954555648
MT4,0.952910265
INSL6,0.952747177
C10orf99,0.950872932
TTR,0.949185671
TMEM207,0.947194715
CST1,0.945770151
SLC31A2,0.945617798
IGF2,0.945581958
NKX2-3,0.945424095
GRIN3A,0.94215872
MRO,0.941618667
GJB7,0.940815962
DAPL1,0.938900543
C13orf42,0.934888936
CLPSL2,0.934401472
ZMYND10,0.934049605
XKR7,0.933040499
SLIT1,0.93125782
CCDC198,0.931245463
SHD,0.928595904
PTX4,0.927707219
FEZF1,0.921447666
LMX1B,0.920599676
LY6L,0.920502955
FADS6,0.92020815
C17orf78,0.918825937
COL2A1,0.917869563
NXPH1,0.91718081
RASAL1,0.915114523
ENKUR,0.914792069
CYP2C9,0.914104814
TH,0.913821102
KCNH5,0.912042312
LIPN,0.910844886
PCDH11Y,0.908145991
LRRC4B,0.906927963
C20orf85,0.906011671
COL11A1,0.905653484
PAGE5,0.905128194
PDK4,0.904044676
TTC29,0.901023011
TEKT1,0.899079886
HSPA6,0.897604238
TPTE,0.896711446
INS,0.893946944
CCDC78,0.890874929
CDHR4,0.889528544
FRMD3,0.889414813
ARC,0.889289496
KCNJ15,0.889138194
PLA2G4A,0.888244282
FABP1,0.887769402
CROCC2,0.883472123
LY6D,0.880082745
CFHR5,0.87982615
OVCH2,0.879001322
TGM6,0.878670792
HOXB7,0.874692191
AXDND1,0.873795681
TAS2R38,0.873356055
CNGB3,0.871001468
PRB2,0.868819194
ECEL1,0.868786178
CLU,0.868318
SH2D1A,0.866786555
PADI3,0.866345366
SLITRK3,0.866085068
UNC13A,0.865077889
RPRML,0.861482206
PCDH17,0.859233017
FOXB1,0.858614048
TMEM238L,0.858233715
GSTM3,0.855971573
LVRN,0.852046775
TWIST1,0.851327962
CST2,0.849950038
PALM3,0.84917136
KCNQ1,0.848285271
SLC24A2,0.847888351
REG4,0.847096105
CRYBA4,0.845211195
FGG,0.84441271
CELA3A,0.844377381
SLC6A2,0.843762742
PNMA6A,0.842743995
KRT73,0.836886852
GPR83,0.836350776
OR5B2,0.836139599
DEFB132,0.834342917
AIF1L,0.834155552
EPYC,0.832661344
GAS2,0.826603157
SHISAL2B,0.826602065
MPPED1,0.824533999
MUC15,0.823453837
PPP3R2,0.823421147
NKX6-1,0.823149553
IL19,0.821583332
CTRB2,0.818900102
RLN2,0.817216867
SHISA8,0.816700861
C20orf202,0.814767404
CLRN3,0.812758014
ATP13A4,0.812370687
CFC1B,0.809382728
LRRC15,0.809129544
MON1B,0.808930986
ACKR2,0.808714034
IL1RL1,0.806723265
KNG1,0.806658297
GNAO1,0.806114796
SFTPC,0.804862915
CYP1A1,0.804603154
TM4SF5,0.804329426
ACTL6B,0.803135336
AKR1C4,0.800811383
G0S2,0.800272978
HELT,0.79867675
ATP6V1G3,0.798034172
GCNT4,0.797516794
CFAP77,0.797005894
FAM167A,0.796066295
DNAI2,0.795982494
VWA3B,0.793464308
PAX8,0.79320604
ST18,0.792700431
VWA5B2,0.79167066
FOXN4,0.789273042
PTGS2,0.788833912
PRSS1,0.788210976
SULT1C3,0.786854906
SSTR1,0.786852847
ANKRD34C,0.786102142
CES3,0.786070483
NLRP13,0.786012391
SERHL2,0.785910558
ADGB,0.784717974
DUSP2,0.784626877
DNAAF6,0.784371979
OTOR,0.783344991
CLNK,0.783166416
GGTLC2,0.783070389
MDH1B,0.782577866
PLCZ1,0.781868385
HAVCR1,0.781726357
ARG1,0.779898752
GRAMD1B,0.778249289
EVA1A,0.777976766
ZBBX,0.777201762
RIPPLY1,0.776723135
NTSR2,0.776097825
ZIC3,0.774221779
SNAP25,0.772598826
WFDC2,0.769425363
LRRIQ1,0.767674335
CYP2E1,0.76761952
SGCZ,0.76746092
HAO1,0.766752179
HAO2,0.766404543
KCNJ13,0.764983385
DPRX,0.763036651
PTGS1,0.761375637
KCNJ1,0.760633254
SYT3,0.760576341
REG1B,0.75969508
LURAP1,0.759605784
LYVE1,0.758663534
SLPI,0.757664106
ZFR2,0.757339601
VSX2,0.755950792
TNN,0.755469204
LIPJ,0.755278545
EGFL6,0.754980102
IGFL2,0.750565389
NRIP3,0.749803714
EPHA10,0.7481491
CDK18,0.74680061
MATK,0.746787607
PCSK1,0.743818217
APOBEC3C,0.74309834
ACKR4,0.742392551
C1orf189,0.742139946
TRIM63,0.736731609
QPRT,0.736164087
GLIS3,0.736137172
DNAI1,0.735532204
OBP2A,0.734405793
SLC12A5,0.73385465
HRK,0.733814094
SEZ6,0.733628498
IL20,0.73303189
FABP6,0.732185544
ETV5,0.731376162
IGF2BP1,0.731148198
ANXA9,0.73057214
DUOXA2,0.730263223
SLC9A4,0.729011901
SLC30A8,0.728761815
CCDC177,0.728528163
SP6,0.728334157
NTM,0.725217418
LPL,0.724743703
TEX101,0.72289053
UCN,0.722698254
ATP1A4,0.722692072
ARHGAP19-SLIT1,0.722655948
SMR3B,0.722218964
FDX1,0.720794465
PRPS2,0.719738981
ODAM,0.71900766
SFTPA2,0.718334944
SNPH,0.718039685
GMNC,0.717868667
SLCO2A1,0.716137159
CFAP65,0.711323167
LRTM2,0.710920848
GDF3,0.710857421
TRIM9,0.707463938
C2orf88,0.707361263
WFDC6,0.70384071
CDH16,0.703473207
TMEM196,0.701905653
C2CD4C,0.700683802
TMPRSS11A,0.699255662
OR2T10,0.698634705
ROS1,0.698530543
IRF5,0.697901744
SMC1B,0.697846385
SPOCK2,0.696691106
TMLHE,0.696565439
KRTAP13-2,0.69605762
CA14,0.693926595
IL1F10,0.693621641
LIN28B,0.693182561
RBM44,0.692655408
ZNF560,0.691985951
UNC5B,0.691973746
KY,0.691432368
CCDC27,0.68724422
KRT13,0.686862887
NPY4R2,0.686181942
USH2A,0.686082569
MAP3K19,0.685510172
SH2D1B,0.684980807
AGMO,0.684725666
GRPR,0.683926256
NKX2-5,0.682733351
AKR7A3,0.682498411
MUC21,0.681850462
FOXI3,0.681563663
CLDN19,0.681543319
VGF,0.6815069
C15orf48,0.681337431
CNTLN,0.680876406
ARL14,0.680103617
C11orf97,0.679494521
ADAMTS20,0.67924785
NHSL1,0.678658339
IL5RA,0.678257855
CYP17A1,0.678228911
STAC,0.678093773
FCRLB,0.677545749
PPY,0.677008949
FAM83C,0.676851233
KCNJ16,0.674986017
RCVRN,0.673434576
AMACR,0.672824899
C1orf167,0.672742458
ITLN1,0.671907041
GPR78,0.671302036
KCNF1,0.671149865
CAMK2N2,0.670518222
CPZ,0.669823415
SCN11A,0.669779713
CST4,0.669645936
C1QTNF9B,0.668948961
CEACAM5,0.668346444
C8orf88,0.667817838
DNAH12,0.667721717
LGI1,0.665377416
AMELX,0.664160361
DMRT2,0.664045685
SIAH3,0.662762408
PANX3,0.660839193
GNG13,0.660689186
CDO1,0.660647381
AVPR1B,0.660243715
PCDHGA8,0.659911612
SPDYE4,0.659551051
SYT10,0.659185465
SLC34A2,0.657738886
FAM110C,0.657078932
TPTE2,0.653668898
SYCE1L,0.653453294
ZP1,0.653431499
OTOP3,0.651788292
HCAR2,0.650643671
SYNPO2,0.649903691
GABRD,0.649615819
TRH,0.64881498
CBLIF,0.648497604
SERPINA9,0.647806587
KBTBD13,0.647468993
ST6GALNAC4,0.646495173
GPD1,0.645962893
RAB9B,0.645816444
DCHS2,0.644945866
CCKAR,0.644315587
BCAT1,0.643040927
HOXB5,0.642924991
MOV10L1,0.641500589
CACNA1F,0.640731735
ABHD6,0.640023714
OR51C1P,0.639655367
CERS1,0.639446528
ADGRD2,0.639156322
TMEM101,0.637597211
AMBP,0.637401901
SLC10A5,0.637079966
S100A7A,0.63674749
HPN,0.63661359
ART4,0.636391303
MAJIN,0.635710109
WWC3,0.635672566
PLLP,0.634882649
HCN2,0.633971208
IFI6,0.633645329
PLAAT5,0.633609678
SPSB4,0.632699009
ELF5,0.632222458
ACSM1,0.631426985
SLC39A2,0.630619105
DYTN,0.630557504
ANGPT1,0.63042541
OR51S1,0.629991584
CYP26B1,0.629793647
GPC5,0.629623241
EFNB1,0.628770612
MARCHF10,0.62863782
NT5C1A,0.627461729
TMEM132C,0.627275797
CDHR2,0.627139987
KLRC2,0.626863152
AOX1,0.626844756
DNAH5,0.625798529
LPCAT2,0.62561746
MYLK,0.625278919
FAT3,0.625255211
PHGR1,0.625119566
L3MBTL4,0.624384569
BMX,0.624284205
EPPIN,0.623440328
SBSPON,0.621861797
PCDHA10,0.621487491
ANKRD66,0.620684644
NCAM2,0.620180693
PDZK1,0.619937264
SEPTIN12,0.619839534
ZNF185,0.619822505
BCAN,0.61962441
ASCL5,0.61948765
TCP11,0.618375465
ZDHHC22,0.617272144
IBSP,0.617223192
LIPG,0.616815772
SLC18A2,0.616374951
CASKIN1,0.615317952
ASPHD1,0.615183587
APLN,0.614721953
ZNF30,0.613350747
NECAB1,0.612851289
CLCA2,0.612441317
WFDC13,0.612031936
LAPTM4A,0.611172867
TEX19,0.61100458
SERPINC1,0.610445764
APCS,0.610129787
C1QTNF3,0.609765921
FGFRL1,0.609377074
BRSK2,0.608199696
SMIM28,0.608076286
IL18R1,0.607865199
CRYBB1,0.607802416
HOXA1,0.605554966
TRPM3,0.605494432
NEFM,0.605177482
KCTD19,0.604827273
HYAL4,0.60442963
HLA-DMB,0.603737444
LMO3,0.603687495
MMP26,0.601902545
FCAMR,0.60104049
WNT11,0.600012126
VWA3A,0.599081042
ASPA,0.598815175
ETNK2,0.598705455
GPR88,0.598563489
GSTP1,0.597890564
OLIG1,0.597743482
NKX6-3,0.596837544
FOXL2,0.596654798
SLC6A3,0.595767064
HES6,0.595462423
ADRA1A,0.595318784
PPP1R3C,0.595237123
PAQR6,0.594153548
GJA3,0.593445894
LCN8,0.59343998
EN1,0.593392705
GPR85,0.593084922
CFAP47,0.593056795
RD3,0.592753173
SLC51A,0.591001771
ALDH1L2,0.590491409
ACOX2,0.589900718
GPRC5B,0.589693955
FSIP1,0.588738838
C2orf72,0.587524384
SNCB,0.587059891
IL20RB,0.586337402
TRIM61,0.585788491
RAG2,0.585778284
PRH2,0.585208562
HRH3,0.584783391
CAV1,0.584666623
LRCOL1,0.58388596
CTRB1,0.583674869
OGDHL,0.583288873
C11orf45,0.582900811
OMP,0.582466354
ERBB4,0.58193716
ASTL,0.580242422
REN,0.580061635
ATP4B,0.579960026
HOXB4,0.579782204
SLC30A3,0.579496346
MIPEP,0.579041838
APOC1,0.578792978
CPB2,0.578537726
TMEM190,0.578106666
B4GALNT4,0.578051508
GNAZ,0.577262486
PAK3,0.576265301
CHRDL1,0.575981461
NIPAL4,0.575385392
KCNG4,0.574288644
RHOBTB2,0.573841549
HOXD4,0.573814889
CRYBG2,0.573068807
PRR4,0.572641766
IGF2BP3,0.571901407
FOXQ1,0.571574169
GRIN3B,0.57153406
KRT6B,0.571519226
C11orf16,0.570812208
KCNK12,0.570466241
C1orf194,0.570074622
ATP2B3,0.570037884
PYY,0.569754909
CFAP52,0.569207708
ZNF90,0.569106027
FGF10,0.568502259
TMEM252,0.567916012
IFI27,0.567884385
KLK14,0.567862346
CATSPERD,0.567700378
FOXP2,0.567314469
FILIP1,0.567190558
SYT8,0.566237925
ABCA4,0.565887242
POU2F3,0.565742321
CLEC18B,0.565112713
AREG,0.564445628
SCARA3,0.564056977
HOXC11,0.563742229
ANGPTL1,0.563212253
PRR7,0.562876137
ARHGEF40,0.562436594
C2CD4A,0.562337106
GDPD1,0.562324073
KLHL35,0.562203828
HTR2C,0.562026128
PLP2,0.561820297
NEUROD1,0.561522065
SERPINF2,0.561377311
F12,0.561366311
PSD,0.561250231
C12orf75,0.561038447
CERS3,0.559613312
APOBEC3G,0.55956059
ABCB5,0.559186919
SLC6A17,0.55877499
LRRC3B,0.558569378
PSMA8,0.558138353
NLRP12,0.558041262
OR52I1,0.55781676
PALLD,0.557624344
ERICH5,0.557612687
TMEM238,0.55735524
ASIC2,0.556705125
PAK5,0.556434463
KLHL4,0.555705013
CER1,0.555589567
HSPB8,0.554793912
CCBE1,0.554684721
GPX2,0.554383026
WFDC5,0.554122354
CFL2,0.553458685
PCDHGA5,0.553074751
FOLR1,0.552824561
CDHR3,0.552641874
SYNM,0.55261902
ALDOB,0.551660211
TEKT4,0.550842457
AMZ1,0.550713598
GDF10,0.54996224
RASL11B,0.549572126
ZNF157,0.549384832
DNAJB1,0.549334579
KCNK10,0.548837467
FFAR4,0.548375413
DDX53,0.546935229
ATP8A2,0.546226273
OR2G6,0.545830728
ATG9B,0.545448456
LRRC46,0.545105957
TPM1,0.544638477
BCHE,0.544376488
TMEM35A,0.54436703
TSPAN18,0.544353616
KCNC2,0.544280311
TMEM74B,0.543342058
CXCR2,0.543180395
HFE,0.542836483
APOF,0.542702521
DLL3,0.542309549
ROPN1,0.541368101
REG1A,0.540979068
CTHRC1,0.540810532
USH1C,0.540295618
SLC5A10,0.540275897
JPH4,0.539838474
EPHA2,0.539758482
PDE7B,0.539627714
KIAA2012,0.539221306
FAXDC2,0.539202825
SLC36A1,0.539081566
SERPINA1,0.538672066
UGT1A3,0.538667773
LPA,0.538533282
MAP1A,0.538487908
ADGRG4,0.537990764
SLC18A3,0.536918739
LRRC71,0.53662549
SERPIND1,0.536572982
CFAP100,0.536241659
NKAPL,0.534781044
APOBR,0.534562461
EDNRB,0.534535559
DTNA,0.534282182
DOK4,0.533976053
FAM107B,0.533758448
BTN1A1,0.533588897
MYH11,0.532893858
ABCA12,0.532702687
CAV2,0.532592225
PRKCB,0.532215344
GJB4,0.531765249
RUNDC3A,0.531439426
MAGEC2,0.530724799
HCAR3,0.529841733
