"miRTarBase.ID" "miRNA" "Species..miRNA." "Target.Gene" "Target.Gene..Entrez.ID." "Species..Target.Gene." "Experiments" "Support.Type" "References..PMID."
"96" "MIRT003732" "hsa-miR-519c-3p" "hsa" "ELAVL1" 1994 "hsa" "qRT-PCR//Western blot" "Functional MTI" 19088191
"97" "MIRT003732" "hsa-miR-519c-3p" "hsa" "ELAVL1" 1994 "hsa" "qRT-PCR//Western blot" "Functional MTI" 19088191
"98" "MIRT003733" "hsa-miR-519a-3p" "hsa" "ELAVL1" 1994 "hsa" "qRT-PCR//Western blot" "Functional MTI" 19088191
"99" "MIRT003733" "hsa-miR-519a-3p" "hsa" "ELAVL1" 1994 "hsa" "qRT-PCR//Western blot" "Functional MTI" 19088191
"105" "MIRT003333" "hsa-miR-15a-5p" "hsa" "BRCA1" 672 "hsa" "Luciferase reporter assay" "Functional MTI" 19144710
"106" "MIRT003328" "hsa-miR-16-5p" "hsa" "BRCA1" 672 "hsa" "Luciferase reporter assay" "Functional MTI" 19144710
"107" "MIRT003060" "hsa-miR-143-3p" "hsa" "FNDC3B" 64778 "hsa" "Luciferase reporter assay//qRT-PCR//Western blot" "Functional MTI" 19472311
"108" "MIRT003734" "hsa-miR-128-3p" "hsa" "E2F3" 1871 "hsa" "Luciferase reporter assay" "Functional MTI" 18810376
"109" "MIRT003734" "hsa-miR-128-3p" "hsa" "E2F3" 1871 "hsa" "Luciferase reporter assay" "Functional MTI" 18810376
"110" "MIRT003058" "hsa-miR-144-3p" "hsa" "PLAG1" 5324 "hsa" "Luciferase reporter assay" "Functional MTI" 19347935
"111" "MIRT003057" "hsa-miR-375" "hsa" "PLAG1" 5324 "hsa" "Luciferase reporter assay" "Functional MTI" 19347935
"112" "MIRT003735" "hsa-miR-29a-3p" "hsa" "S100B" 6285 "hsa" "Luciferase reporter assay//qRT-PCR//Northern blot" "Functional MTI" 19102781
"113" "MIRT003736" "hsa-miR-29b-3p" "hsa" "S100B" 6285 "hsa" "Luciferase reporter assay//qRT-PCR//Northern blot" "Functional MTI" 19102781
"114" "MIRT003054" "hsa-miR-21-5p" "hsa" "PDCD4" 27250 "hsa" "Luciferase reporter assay//Westren blot" "Functional MTI" 17968323
"116" "MIRT003051" "hsa-miR-124-3p" "hsa" "RDH10" 157506 "hsa" "Luciferase reporter assay" "Functional MTI" 17724173
"117" "MIRT003050" "hsa-let-7i-5p" "hsa" "TLR4" 7099 "hsa" "Luciferase reporter assay//qRT-PCR//Western blot" "Functional MTI" 17660297
"119" "MIRT003738" "hsa-miR-125a-5p" "hsa" "LIN28A" 79727 "hsa" "Luciferase reporter assay" "Functional MTI" 17400653
"120" "MIRT003738" "hsa-miR-125a-5p" "hsa" "LIN28A" 79727 "hsa" "Luciferase reporter assay" "Functional MTI" 17400653
"121" "MIRT003738" "hsa-miR-125a-5p" "hsa" "LIN28A" 79727 "hsa" "Luciferase reporter assay" "Functional MTI" 17400653
"122" "MIRT003738" "hsa-miR-125a-5p" "hsa" "LIN28A" 79727 "hsa" "Luciferase reporter assay" "Functional MTI" 17400653
"123" "MIRT003045" "hsa-miR-106b-5p" "hsa" "E2F1" 1869 "hsa" "Luciferase reporter assay" "Functional MTI" 18676839
"125" "MIRT000603" "hsa-miR-106b-5p" "hsa" "CDKN1A" 1026 "hsa" "Luciferase reporter assay" "Functional MTI" 18676839
"127" "MIRT003739" "hsa-miR-32-5p" "hsa" "BCL2L11" 10018 "hsa" "Luciferase reporter assay" "Functional MTI" 18676839
"129" "MIRT003042" "hsa-miR-338-3p" "hsa" "ZBTB18" 10472 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"130" "MIRT003042" "hsa-miR-338-3p" "hsa" "ZBTB18" 10472 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"131" "MIRT003041" "hsa-miR-338-3p" "hsa" "DAB2IP" 153090 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"132" "MIRT003041" "hsa-miR-338-3p" "hsa" "DAB2IP" 153090 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"133" "MIRT003041" "hsa-miR-338-3p" "hsa" "DAB2IP" 153090 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"134" "MIRT003041" "hsa-miR-338-3p" "hsa" "DAB2IP" 153090 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"135" "MIRT003040" "hsa-miR-338-3p" "hsa" "MAP1A" 4130 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"136" "MIRT003040" "hsa-miR-338-3p" "hsa" "MAP1A" 4130 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"137" "MIRT003040" "hsa-miR-338-3p" "hsa" "MAP1A" 4130 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"138" "MIRT003039" "hsa-miR-338-3p" "hsa" "NOVA1" 4857 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"139" "MIRT003039" "hsa-miR-338-3p" "hsa" "NOVA1" 4857 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"140" "MIRT003038" "hsa-miR-338-3p" "hsa" "UBE2Q1" 55585 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"141" "MIRT003038" "hsa-miR-338-3p" "hsa" "UBE2Q1" 55585 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"142" "MIRT003038" "hsa-miR-338-3p" "hsa" "UBE2Q1" 55585 "hsa" "qRT-PCR//Western blot" "Functional MTI" 18684991
"149" "MIRT003032" "hsa-miR-203a-3p" "hsa" "ABL1" 25 "hsa" "Luciferase reporter assay" "Functional MTI" 18538733
"150" "MIRT003031" "hsa-miR-92a-3p" "hsa" "ITGA5" 3678 "hsa" "Luciferase reporter assay//Western blot//Microarray" "Functional MTI" 19460962
"153" "MIRT003029" "hsa-miR-29b-3p" "hsa" "DNMT3A" 1788 "hsa" "Luciferase reporter assay//Western blot//qRT-PCR" "Functional MTI" 17890317
"154" "MIRT003028" "hsa-miR-29c-3p" "hsa" "DNMT3A" 1788 "hsa" "Luciferase reporter assay//Western blot//qRT-PCR" "Functional MTI" 17890317
"155" "MIRT003027" "hsa-miR-29a-3p" "hsa" "DNMT3B" 1789 "hsa" "Luciferase reporter assay//Western blot//qRT-PCR" "Functional MTI" 17890317
"156" "MIRT003027" "hsa-miR-29a-3p" "hsa" "DNMT3B" 1789 "hsa" "Luciferase reporter assay//Western blot//qRT-PCR" "Functional MTI" 17890317
"157" "MIRT003027" "hsa-miR-29a-3p" "hsa" "DNMT3B" 1789 "hsa" "Luciferase reporter assay//Western blot//qRT-PCR" "Functional MTI" 17890317
