V1,V2
S100A8,1.745418339
CSMD3,1.744123033
KCNH6,1.740854748
PVALB,1.740618135
MAGEA4,1.737962326
SOHLH1,1.737717241
AOC1,1.737023576
LHX5,1.731608823
MYL2,1.730220435
SVOP,1.727981676
NPW,1.727605594
H4C4,1.72760456
RUNDC3A,1.727354962
PNLIP,1.726841155
MUC5AC,1.724277537
KLK14,1.721649666
RBMXL2,1.718744496
BPIFB1,1.716618295
DEFB4A,1.715347079
VIL1,1.714610651
STRA8,1.713513981
SLC22A24,1.711008452
HRH3,1.71091941
IDI2,1.710567968
KRT24,1.710349262
TNR,1.707478666
SERPINB11,1.705332367
IFITM5,1.704879202
DCAF8L2,1.704478012
CSAG2,1.701250388
H4C6,1.700614476
SEZ6L,1.700599777
ORM2,1.700132754
MEPE,1.698498274
PCDH10,1.695811962
TMEM179,1.695805792
ABRA,1.694575411
SBK2,1.694302438
LIPF,1.690837085
PROKR2,1.690663276
SLC6A5,1.690624923
C6orf15,1.686861239
SCRT2,1.682396325
PEX5L,1.682339842
SPRR2D,1.679187336
SPACA7,1.678436835
KRT75,1.677048021
INA,1.675973334
SYT5,1.675513175
C7orf33,1.674847106
KRT10,1.673302906
HDC,1.673199995
FGF21,1.669160718
TNNC2,1.667303162
LYPD4,1.666249909
TNNC1,1.662969117
NEUROD2,1.661826743
DMBT1,1.658782228
EIF4E1B,1.657342594
AMY2A,1.656851826
GJD2,1.652621336
TCL1B,1.652276538
ADAM7,1.652191989
MALRD1,1.652112934
ACTN3,1.649236889
TMEM229A,1.648911615
SERPINB7,1.648679415
MYOT,1.647545973
H2BC13,1.647034372
ERVV-2,1.646634964
XIRP1,1.643455422
SPANXD,1.641515751
CASQ1,1.639659662
ZPLD1,1.637488066
LINC02203,1.637274245
TPH2,1.637232049
EFCAB3,1.634904016
MAGEA8,1.633624539
TBX10,1.628714273
MYLK2,1.628385951
NKX2-2,1.626755859
MYH7,1.625783218
RIT2,1.6230935
SYT4,1.622987913
GDF9,1.622904641
GDPD2,1.622231063
LRRTM3,1.618579785
SHISA7,1.617140388
AGXT,1.612256263
SLITRK1,1.611837316
SDR9C7,1.60905753
CNGA3,1.60655038
KCNK9,1.605936556
NDST4,1.604337632
TMEM82,1.601552589
HOXB9,1.60015071
STATH,1.597891191
PRDM13,1.59619814
CLEC2A,1.593817475
LHFPL4,1.590485264
APOBEC2,1.589492715
RHCG,1.589490399
GBX2,1.586983017
C2orf78,1.586717198
LIN28A,1.584758241
MYL1,1.584394545
LGALS7B,1.58347936
GATA4,1.582181706
WNT7A,1.5819028
MYOM1,1.580822376
GCNT3,1.580515583
APOA2,1.580370291
H3C14,1.579471901
TTN,1.578487875
TMEM151A,1.577823891
FGA,1.5773875
TEX15,1.574688273
ACTN2,1.574375687
SYT13,1.572900526
AGBL1,1.569726172
CGB5,1.568472137
AMPD1,1.567139042
CCL11,1.564587556
H2AC12,1.56385766
DMRT1,1.560386911
KRT79,1.560169924
VWC2L,1.560047928
VTN,1.559649563
PGLYRP4,1.559194836
SLC5A8,1.557279719
IGF2BP1,1.55657068
HCN2,1.556514488
KLHL41,1.556212118
MYOZ1,1.555660294
SLC38A8,1.55367676
NCAN,1.553249932
SLN,1.553114089
IVL,1.553012398
KLHL40,1.552735331
KRT33B,1.551160385
TRPM8,1.549465747
TGIF2LX,1.548173159
MB,1.54811386
NRAP,1.545058871
H2BC17,1.54152315
NMU,1.540541414
SEZ6,1.537473242
A2ML1,1.536332803
TRIM67,1.535228891
CYP2W1,1.531442964
SYPL2,1.531249934
TMEM72,1.5311027
GLRA2,1.529044385
FGG,1.528265598
C10orf71,1.527567892
FOXJ1,1.527323144
CYP2A13,1.526785102
UCMA,1.525227651
FATE1,1.524923509
TNNI2,1.524133357
PRR11,1.520994367
LMOD3,1.519959621
WFDC10A,1.519354243
ALPP,1.518828856
PLAC1,1.517435952
C4orf54,1.516433386
CHRNA4,1.516328489
CDH18,1.514574878
ASB10,1.513635131
METTL11B,1.511454312
CA3,1.509724608
CTCFL,1.50729398
TRIM63,1.506521685
WDR38,1.503328027
CYP2A6,1.50310624
MAGEA11,1.503104119
H2AC16,1.503059714
CT83,1.502975554
DMRTA2,1.502735227
GJB2,1.502542335
OR4D10,1.497500489
VCX,1.496275566
GNG13,1.49593773
HTR3A,1.493942016
FAM187B,1.493272648
TNNI1,1.492311295
MMP9,1.491386475
KCNJ18,1.490197721
NXPH1,1.490095545
GHRHR,1.489603418
ELFN2,1.488848082
FHL1,1.483926595
CCNE1,1.483778026
NEUROG3,1.483543143
KCNA7,1.483466134
PRR20G,1.483081987
H3C12,1.482071744
SRL,1.481979019
RGS8,1.481412775
FABP6,1.481372796
LHX2,1.481346082
KIF1A,1.478423468
SSX5,1.478283846
GSTA2,1.475332431
SCN1A,1.473065071
NPTX1,1.471439363
GAD1,1.469842151
BARHL2,1.465984646
PASD1,1.46279438
FITM1,1.462761897
FSTL5,1.461332338
IGFL3,1.460968079
KIR3DL3,1.458557469
TMEM215,1.4584863
KRT40,1.457997556
NEB,1.457045077
ITLN2,1.45685242
FAM83C,1.455184486
CXCL17,1.452841318
MOG,1.451839599
PDIA2,1.45177513
NR5A1,1.451302477
GLYAT,1.451211006
LRRC39,1.451024461
H2BC6,1.450866643
GABRA3,1.450070987
LEP,1.449484571
KLHL33,1.447745575
KLK13,1.44771634
HJV,1.447629402
NPSR1,1.446531905
WT1,1.44569471
CABP7,1.444095956
OTX2,1.443169065
UNC93A,1.442713663
INHA,1.441626533
ASCL1,1.437968756
FAM216B,1.43657152
NKX6-1,1.435089723
PADI3,1.431894787
VCX2,1.431223329
TRDN,1.430631881
MSLNL,1.43049132
LRTM1,1.430470371
ACY3,1.429770047
RTL1,1.428859322
ATP2B3,1.428284159
XIRP2,1.427704452
CTNNA2,1.426431033
KRT3,1.425133883
NLRP7,1.423891409
GRIA2,1.42253418
HAND1,1.421113832
TEX101,1.420962449
CAGE1,1.419599309
VCX3B,1.416498854
PRSS41,1.41638317
KCNJ4,1.415032309
CELF4,1.41189451
SSTR5,1.410302777
MYBPC2,1.410277424
PRB2,1.409326842
GCGR,1.407864205
HOXB13,1.405772156
VAX1,1.402846514
UNC45B,1.401679007
NRSN1,1.400127422
SYNGR4,1.399899422
CSRP3,1.398308493
OLIG2,1.396032041
ACVR1C,1.394828696
SFTPB,1.394720286
SPRR1B,1.393608357
KLHDC7B,1.393551848
NAT16,1.391001181
TCF24,1.390765765
ESX1,1.390741182
CAPNS2,1.39057785
SALL3,1.390402575
WFDC5,1.388570822
IFNL3,1.388045598
LRRC2,1.387487971
S100A9,1.387130528
MUSTN1,1.38701982
SLC4A10,1.385883883
SYT1,1.38529455
SLIT1,1.384598093
AKAP14,1.38433029
NELL2,1.383101794
NAA11,1.382814737
LEFTY1,1.381873415
HBB,1.381801873
KRT77,1.378619876
LVRN,1.378451169
SYP,1.378278266
APLP1,1.377737242
GRIN2C,1.375464839
S100A7A,1.375267757
ANKRD2,1.373689659
ADGRF2,1.373678217
COL9A3,1.371365926
SLC6A4,1.370408347
BRSK2,1.369890483
KRT6C,1.369829665
